outlet,date,kind,title,url
ETH Zurich (D-MAVT News),2024-12,press,National Prize for Open Research Data 2024 awarded to openwashdata,https://mavt.ethz.ch/news-and-events/d-mavt-news/2024/12/national-prize-for-open-research-data.html
Swiss Academies of Arts and Sciences,2024,video,National Prize for Open Research Data 2024 - openwashdata prize video,https://www.youtube.com/watch?v=590qPtQNCD0
ETH Library 17:15 Kolloquium,2024-11,video,"Plan for tomorrow today - a model for data stewardship",https://www.youtube.com/watch?v=zpVo_-Ne91c
